#====================================================================#
# Cross sections computed using DIANA opacity tool
# Parameters:
#  amin    =      0.190E+01 micron
#  amax    =      0.210E+01 micron
#  apow    =         3.5000
#  na      =             20
#  input file:inSiO2.dat
#Refractive index of amorphous SiO2[s] at 300K; Henning&Mutschke (1997), A&A Vol. 327; Philipp (1985) in Palik: "Handbook of Optical Constants of Solids"; Database of Optical Constants for Cosmic Dust, Laboratory Astrophysics Group of the AIU Jena
#  density =         2.2100
#====================================================================#
# lambda[micron]   Qabs           Qsca           asymmetry parameter
#====================================================================#
  0.20000000000000004        7.4671044236536790E-004   2.1400192958281044                            NaN
  0.20108545399969871        7.6190806084903647E-004   2.1383312056369395                            NaN
  0.20217679905132466        7.5173767259783197E-004   2.1426277026643326                            NaN
  0.20327406712720733        8.0277476135567753E-004   2.1551022838111193                            NaN
  0.20437729037319852        7.8153143884189373E-004   2.1387393758306730                            NaN
  0.20548650110961433        8.0073463327664564E-004   2.1363483793582376                            NaN
  0.20660173183218192        8.0636286471971416E-004   2.1384253528964794                            NaN
  0.20772301521299147        7.4786859865508303E-004   2.1371008403286527                            NaN
  0.20885038410145351        7.8110960068159744E-004   2.1435452144515938                            NaN
  0.20998387152526110        7.8036730185408081E-004   2.1378939159142050                            NaN
  0.21112351069135765        1.6254873140690055E-003   2.1379429686905516                            NaN
  0.21226933498690945        7.9670603233494364E-004   2.1246080429614462                            NaN
  0.21342137798028399        8.4304896961425564E-004   2.1261385589593287                            NaN
  0.21457967342203352        7.4579867124170869E-004   2.1132945400328529                            NaN
  0.21574425524588337        7.7109834640851505E-004   2.1167415858196104                            NaN
  0.21691515756972665        7.2518023865053040E-004   2.1199625536461535                            NaN
  0.21809241469662330        7.8886793896452067E-004   2.1324590719075016                            NaN
  0.21927606111580522        7.1085496201001898E-004   2.1345274142502197                            NaN
  0.22046613150368682        7.6765294566453763E-004   2.1467832793734987                            NaN
  0.22166266072488064        7.1297052885069539E-004   2.1401687817811346                            NaN
  0.22286568383321900        7.9611509351980563E-004   2.1473614771898348                            NaN
  0.22407523607278074        7.0272065697349350E-004   2.1376156286650163                            NaN
  0.22529135287892382        7.4183078843939284E-004   2.1343014858658491                            NaN
  0.22651406987932360        7.0418634548157877E-004   2.1279097489083099                            NaN
  0.22774342289501628        7.4543143146493535E-004   2.1243394269604230                            NaN
  0.22897944794144853        7.3475286518735706E-004   2.1232596190551276                            NaN
  0.23022218122953275        7.0057620930034611E-004   2.1220986979035832                            NaN
  0.23147165916670745        8.0408433673437980E-004   2.1299329761600276                            NaN
  0.23272791835800441        7.1965721580691255E-004   2.1288149741450137                            NaN
  0.23399099560712064        7.0744555957448333E-004   2.1331044552140264                            NaN
  0.23526092791749670        7.2484163360273543E-004   2.1420469532414370                            NaN
  0.23653775249340103        7.3006873654803009E-004   2.1401867072506300                            NaN
  0.23782150674101948        7.4902415385507434E-004   2.1426318280901340                            NaN
  0.23911222826955150        7.2192399857354424E-004   2.1482638785038746                            NaN
  0.24040995489231176        7.6521124167509618E-004   2.1496533065380632                            NaN
  0.24171472462783788        6.8743912687328974E-004   2.1443752470142994                            NaN
  0.24302657570100464        7.5057614300769908E-004   2.1451175599323573                            NaN
  0.24434554654414328        1.1213008681519628E-003   2.1409550166614069                            NaN
  0.24567167579816773        7.0242393663923371E-004   2.1420134946802194                            NaN
  0.24700500231370673        7.7226700908640262E-004   2.1411647187884686                            NaN
  0.24834556515224163        9.7690576304438280E-004   2.1380805890453134                            NaN
  0.24969340358725128        7.5094289816041322E-004   2.1377318006422850                            NaN
  0.25104855710536206        7.2234046890649601E-004   2.1377381643753552                            NaN
  0.25241106540750502        6.7652264854069319E-004   2.1386466421267700                            NaN
  0.25378096841007891        9.1943552172379386E-004   2.1502010633911532                            NaN
  0.25515830624611946        1.2084364489516118E-003   2.1454128017511338                            NaN
  0.25654311926647544        6.9384326621266701E-004   2.1403749139428596                            NaN
  0.25793544804099028        7.4123213881399966E-004   2.1420484923723393                            NaN
  0.25933533335969106        7.9326385623645131E-004   2.1420522040969487                            NaN
  0.26074281623398338        6.6169973924848303E-004   2.1440010479504488                            NaN
  0.26215793789785269        7.1444048194859344E-004   2.1536292636152998                            NaN
  0.26358073980907260        6.9084606731139393E-004   2.1574794561648543                            NaN
  0.26501126365041905        6.6665441132024916E-004   2.1604378738406194                            NaN
  0.26644955133089177        7.3751078249898643E-004   2.1603471561592062                            NaN
  0.26789564498694191        6.9201207962080321E-004   2.1623137673945081                            NaN
  0.26934958698370653        7.5881450602288431E-004   2.1648144898128225                            NaN
  0.27081141991624980        6.7129356036763413E-004   2.1504416420797452                            NaN
  0.27228118661081063        6.3454550643395004E-004   2.1470078143980245                            NaN
  0.27375893012605762        7.0606134498482902E-004   2.1481410386975228                            NaN
  0.27524469375435040        7.8579990902771834E-004   2.1587743481967272                            NaN
  0.27673852102300783        7.6792653653836478E-004   2.1569149347750072                            NaN
  0.27824045569558342        7.0232352540083962E-004   2.1469320537754495                            NaN
  0.27975054177314723        1.2212279704235649E-003   2.1399944614302777                            NaN
  0.28126882349557480        6.3839267260540540E-004   2.1339051029205964                            NaN
  0.28279534534284390        6.7155062567954271E-004   2.1350340130659924                            NaN
  0.28433015203633660        6.8707103919367850E-004   2.1414443390570450                            NaN
  0.28587328854015048        6.4935663505705427E-004   2.1407138470649181                            NaN
  0.28742480006241511        6.3735517332926905E-004   2.1430061097339612                            NaN
  0.28898473205661673        6.5480233822560162E-004   2.1524918434914118                            NaN
  0.29055313022293028        7.4381079939768392E-004   2.1684103648136563                            NaN
