#====================================================================#
# Cross sections computed using DIANA opacity tool
# Parameters:
#  amin    =      0.140E+01 micron
#  amax    =      0.160E+01 micron
#  apow    =         3.5000
#  na      =             20
#  input file:inEnst.dat
#  lambda > 8 micron: Jaeger 1998;  0.31 < lambda < 8 micro: Amorf enstatite uit Jena (alle assen hetzelfde): lambda < 0.24 micron: Scott 1996
#  density =         2.8000
#====================================================================#
# lambda[micron]   Qabs           Qsca           asymmetry parameter
#====================================================================#
  0.20000000000000004        1.1070518136472440        1.9130034778056408                            NaN
  0.20108545399969871        1.0867947961086057        1.9291173608974228                            NaN
  0.20217679905132466        1.0657327684197242        1.9456608695925333                            NaN
  0.20327406712720733        1.0471472289386639        1.9608359416606642                            NaN
  0.20437729037319852        1.0330380677973667        1.9733687222618721                            NaN
  0.20548650110961433        1.0183852153365627        1.9866990973781102                            NaN
  0.20660173183218192        1.0042535947577127        2.0001250761358587                            NaN
  0.20772301521299147       0.99053570874528185        2.0132147244736696                            NaN
  0.20885038410145351       0.97668289873264313        2.0265925063559109                            NaN
  0.20998387152526110       0.96374219056856469        2.0386769133194393                            NaN
  0.21112351069135765       0.95289357930494556        2.0477852209921448                            NaN
  0.21226933498690945       0.94194464198155481        2.0568591163380461                            NaN
  0.21342137798028399       0.92359507779142991        2.0732654427504933                            NaN
  0.21457967342203352       0.87021979803284577        2.1247244381226764                            NaN
  0.21574425524588337       0.81642651613541606        2.1769913851329901                            NaN
  0.21691515756972665       0.76258819240511122        2.2289935906608429                            NaN
  0.21809241469662330       0.74122187714743792        2.2494525727275900                            NaN
  0.21927606111580522       0.72012781535432269        2.2696015532273419                            NaN
  0.22046613150368682       0.69911607680847510        2.2893869308096981                            NaN
  0.22166266072488064       0.68620982766805472        2.3014864270669393                            NaN
  0.22286568383321900       0.67570167157719629        2.3114211575167016                            NaN
  0.22407523607278074       0.66521162871009987        2.3218343945626687                            NaN
  0.22529135287892382       0.65274475907181151        2.3351181181622334                            NaN
  0.22651406987932360       0.60366120819098523        2.3854770114280917                            NaN
  0.22774342289501628       0.55664327914421963        2.4348633165874256                            NaN
  0.22897944794144853       0.51167124803085740        2.4828873098001090                            NaN
  0.23022218122953275       0.48808263084739256        2.5103330836920241                            NaN
  0.23147165916670745       0.47342296401266420        2.5286166866344235                            NaN
  0.23272791835800441       0.45879716757462702        2.5461875278420769                            NaN
  0.23399099560712064       0.44048165587649352        2.5678991618830844                            NaN
  0.23526092791749670       0.41126144898196693        2.6001888411806648                            NaN
  0.23653775249340103       0.38366940952878403        2.6326753759938613                            NaN
  0.23782150674101948       0.35735590570564474        2.6652157461039958                            NaN
  0.23911222826955150       0.33054383860334990        2.7006044983379511                            NaN
  0.24040995489231176       0.30486953891619650        2.7367073075750850                            NaN
  0.24171472462783788       0.28103066957875594        2.7730846317368631                            NaN
  0.24302657570100464       0.25655939490968155        2.8100460217636032                            NaN
  0.24434554654414328       0.22818257523039329        2.8506524288618587                            NaN
  0.24567167579816773       0.20288853175267807        2.8872007458581050                            NaN
  0.24700500231370673       0.17988539538648549        2.9196455222003235                            NaN
  0.24834556515224163       0.16635029661239556        2.9405171296830370                            NaN
  0.24969340358725128       0.15763959158747839        2.9544784620820068                            NaN
  0.25104855710536206       0.14954538675171436        2.9674304223448074                            NaN
  0.25241106540750502       0.14188040839410296        2.9807364867525195                            NaN
  0.25378096841007891       0.13527998202525068        2.9951300338868614                            NaN
  0.25515830624611946       0.12833630739380947        3.0101086513335842                            NaN
  0.25654311926647544       0.12174121072160812        3.0253973763606741                            NaN
  0.25793544804099028       0.11508860003405703        3.0408757534389768                            NaN
  0.25933533335969106       0.10910228990123431        3.0563340617033647                            NaN
  0.26074281623398338       0.10381925455281867        3.0716918449639765                            NaN
  0.26215793789785269        9.8064675079769972E-002   3.0862662027219216                            NaN
  0.26358073980907260        9.3087259127630079E-002   3.0990310246403623                            NaN
  0.26501126365041905        8.8309906367551580E-002   3.1098170371471769                            NaN
  0.26644955133089177        8.3639492215080602E-002   3.1185861265641752                            NaN
  0.26789564498694191        7.9544936542645939E-002   3.1263663376028266                            NaN
  0.26934958698370653        7.5266886933553365E-002   3.1327690525043463                            NaN
  0.27081141991624980        7.0440526680906917E-002   3.1365508614431841                            NaN
  0.27228118661081063        6.7156210354972865E-002   3.1410416413577629                            NaN
  0.27375893012605762        6.3327770928990681E-002   3.1450449201694770                            NaN
  0.27524469375435040        6.0549427288016947E-002   3.1513801918895008                            NaN
  0.27673852102300783        5.7405063104043322E-002   3.1568427665776873                            NaN
  0.27824045569558342        5.4134408672339547E-002   3.1620120856050087                            NaN
  0.27975054177314723        5.0358825029421427E-002   3.1652739932465894                            NaN
  0.28126882349557480        4.8428232359456758E-002   3.1697745207642960                            NaN
  0.28279534534284390        4.5649724313216213E-002   3.1746923664779545                            NaN
  0.28433015203633660        4.3693458450912291E-002   3.1794227025313075                            NaN
  0.28587328854015048        4.2020683000022971E-002   3.1837301147567127                            NaN
  0.28742480006241511        3.8665062651587770E-002   3.1819885370823893                            NaN
  0.28898473205661673        3.5880532727663651E-002   3.1768922735470171                            NaN
  0.29055313022293028        3.4714637399308683E-002   3.1746975734017293                            NaN
  0.29213004050955743        3.3020896733495529E-002   3.1734777410185293                            NaN
  0.29371550911407363        3.1388373789028541E-002   3.1712680429509326                            NaN
  0.29530958248478067        3.0303367753522620E-002   3.1693558851914272                            NaN
  0.29691230732206791        2.7929874039396910E-002   3.1613381881160940                            NaN
  0.29852373057978038        2.5789529482228905E-002   3.1564364987515887                            NaN
  0.30014389946659426        2.4854647149607820E-002   3.1552061046166249                            NaN
  0.30177286144740012        2.4247888517536814E-002   3.1553233800410512                            NaN
  0.30341066424469310        2.2420732007877895E-002   3.1545435367788617                            NaN
  0.30505735583997118        2.1545873666437620E-002   3.1518701985328743                            NaN
  0.30671298447514123        2.0128653534923723E-002   3.1469324092513173                            NaN
  0.30837759865393144        1.8169912531634934E-002   3.1425132144193957                            NaN
  0.31005124714331334        1.7685645152575820E-002   3.1418412309529882                            NaN
  0.31173397897492972        1.7211262947771044E-002   3.1391008088222621                            NaN
  0.31342584344653124        1.6217546220457853E-002   3.1345077787132363                            NaN
  0.31512689012342110        1.5160709116120280E-002   3.1277283537456531                            NaN
  0.31683716883990648        1.4319363628371929E-002   3.1201763510116631                            NaN
  0.31855672970075882        1.2956557203736792E-002   3.1134657255359981                            NaN
  0.32028562308268188        1.3080700739591555E-002   3.1120562366522821                            NaN
  0.32202389963578726        1.1977136648864378E-002   3.1094095153102184                            NaN
  0.32377161028507839        1.0761534325852288E-002   3.1033857034455998                            NaN
  0.32552880623194247        1.0351305223989938E-002   3.0994091516354132                            NaN
  0.32729553895565039        9.1758602374211722E-003   3.0923907478402661                            NaN
  0.32907186021486512        8.9728591858501214E-003   3.0934710804361862                            NaN
  0.33085782204915765        8.6197757876164960E-003   3.0921092248329698                            NaN
  0.33265347678053186        7.9699248714271680E-003   3.0872251768162924                            NaN
  0.33445887701495730        7.9322558213582254E-003   3.0832878369254844                            NaN
  0.33627407564391038        6.6827345891109120E-003   3.0762625645448836                            NaN
  0.33809912584592366        6.5169167998815718E-003   3.0718009934701098                            NaN
  0.33993408108814405        6.0752258251559011E-003   3.0665714456014066                            NaN
  0.34177899512789911        5.6697453326344099E-003   3.0637010909791642                            NaN
  0.34363392201427195        5.3429574926259693E-003   3.0569063246809502                            NaN
  0.34549891608968458        5.2656013291996796E-003   3.0504331576060246                            NaN
  0.34737403199149008        5.0680186145990892E-003   3.0448139024206560                            NaN
  0.34925932465357312        4.6111283510418197E-003   3.0422251008690551                            NaN
  0.35115484930795948        3.9844790176926685E-003   3.0347267935609996                            NaN
  0.35306066148643406        4.1740160395039591E-003   3.0295299703499179                            NaN
  0.35497681702216755        3.8442423730500564E-003   3.0226599933260982                            NaN
  0.35690337205135264        4.0728195726860610E-003   3.0228825566777457                            NaN
  0.35884038301484800        3.4188205789321309E-003   3.0168575845859467                            NaN
  0.36078790665983240        3.8325854892742304E-003   3.0140607897501592                            NaN
