# ============================================================================
# Opacities computed by OpTool        <a^n>=  1.9942E+0  1.9950E+0  1.9958E+0
# Parameters:
#  amin    =      1.9 micron
#  amax    =      2.1 micron
#  apow    =         3.5
#  na      =         20
#  density =         3.71
# ============================================================================
#  lambda[micron]   Qabs
# ============================================================================
8.335226999999999498e-01 8.830623620000001006e-01
8.370817000000000396e-01 8.831714360000000319e-01
8.406557999999999531e-01 8.832768000000000841e-01
8.442452999999999763e-01 8.833732600000000490e-01
8.478501000000000509e-01 8.834571060000000475e-01
8.514701999999999549e-01 8.835320479999999588e-01
8.551058000000000270e-01 8.836047640000000980e-01
8.587569999999999926e-01 8.836767380000001282e-01
8.624237000000000153e-01 8.837464859999999423e-01
8.661060999999999899e-01 8.838058460000001171e-01
8.698042000000000273e-01 8.838503659999999984e-01
8.735180999999999640e-01 8.838815300000000263e-01
8.772478999999999694e-01 8.839060160000000721e-01
8.809936000000000433e-01 8.839312440000000048e-01
8.847553000000000223e-01 8.839601819999999277e-01
8.885330000000000172e-01 8.839891199999999616e-01
8.923269000000000339e-01 8.840091540000000192e-01
8.961369999999999614e-01 8.840143480000000054e-01
8.999633000000000216e-01 8.840047020000001421e-01
9.038059999999999983e-01 8.845114880000001234e-01
9.076651000000000025e-01 8.850175320000001067e-01
9.115406000000000342e-01 8.855191240000001018e-01
9.154326999999999881e-01 8.860132960000000057e-01
9.193415000000000337e-01 8.864978220000000464e-01
9.232669000000000015e-01 8.869727020000001128e-01
9.272091000000000083e-01 8.874386780000000918e-01
9.311681000000000541e-01 8.878979759999999777e-01
9.351439999999999753e-01 8.883528219999999864e-01
9.391369000000000522e-01 8.888017320000000110e-01
9.431467999999999519e-01 8.892417380000000593e-01
9.471739000000000130e-01 8.896706140000001373e-01
9.512182000000000137e-01 8.900876180000000248e-01
9.552796999999999539e-01 8.904949759999999381e-01
9.593585999999999503e-01 8.908963980000000893e-01
9.634547999999999446e-01 8.912948520000000263e-01
9.675686000000000009e-01 8.916895960000000843e-01
